cop,voxel,z,BSC
119,60,5.438,0.12
159.11,60,4.6,0.19
181,51,5.023,0.125
212.8,58,4.208,0.1
133.2,70,4.355,0.2
156.24,48,5.71,0.15
222.9,58,4.9,0.16
147.9,65,4.78,0.15
200.3,60,4.42,0.1
208,72,6.51,0.2
116.029,52.875,4.507,0.09
142.854,56.683,6.07,0.133
115.388,56.332,5.947,0.143
157.858,84.754,5.598,0.141
188.978,48.209,6.11,0.155
172.311,55.817,5.903,0.174
172.629,69.254,5.714,0.167
152.307,51.494,6.334,0.164
152.217,69.109,4.614,0.152
216.684,69.446,4.757,0.169
142.363,52.023,4.932,0.13
134.15,59.185,4.956,0.111
175.693,63.07,5.201,0.176
194.514,51.652,4.429,0.193
150.879,58.139,5.614,0.128
136.992,64.006,5.249,0.124
159.289,57.999,4.918,0.183
204.219,62.571,5.042,0.097
199.806,66.114,5.176,0.105
122.133,70.493,3.581,0.182
214.894,49.191,4.792,0.148
186.978,59.783,4.228,0.139
206.946,60.868,4.489,0.138
196.887,66.322,5.308,0.132
186.113,66.366,4.293,0.158
178.298,53.134,4.366,0.106
142.368,51.148,5.644,0.161
65.987,49.87,4.69,0.126
191.583,57.693,4.396,0.144
