cop,voxel,z,BSC
189.1,65,7.086,0.2
193.69,61,3.747,0.2
181,57,4.099,0.115
116.3,55,4.75,0.16
126.7,76,4.95,0.2
173.6,53,4.33,0.25
126.8,64,3.81,0.16
75.39,73,3.761,0.18
154.23,62,3.66,0.24
108,74,4.507,0.15
181.1,46,2.83,0.196
150.54,61,4.092,0.176
138.75,57,2.766,0.222
97.11,78,4.168,0.216
160.04,78,6.349,0.173
100.88,60,5.005,0.208
157.72,72,4.357,0.2
156.99,66,5.747,0.191
126.73,77,3.73,0.154
156.02,72,3.785,0.153
112.36,72,2.469,0.162
202.7,61,3.706,0.155
113.6,64,5.498,0.216
137.71,71,3.423,0.176
153.21,46,4.094,0.203
103.95,50,4.998,0.192
141.47,54,4.421,0.186
198.31,73,3.512,0.183
84.53,68,5.175,0.199
114.09,68,3.291,0.247
166.4,63,4.52,0.122
198.41,72,4.552,0.181
173.6,58,4.487,0.173
129.98,72,4.585,0.125
140.47,71,4.315,0.205
172.74,78,3.189,0.171
177.98,77,3.629,0.191
148.16,60,4.633,0.134
148.71,75,3.716,0.145
154.01,64,4.335,0.123
