cop,voxel,z,BSC
168.2,53,7.718,0.15
44.55,56,0.6312,0.025
148.2,64,2.546,0.15
130.4,53,5.1,0.102
68.58,50,3.067,0.15
359.5,53,4.349,0.105
171.7,62,5.568,0.01
96.86,59,4.514,0.1
201.9,55,3.81,0.02
71.07,57,3.536,0.05
66.27,65,3.27,0.05
78.24,55,3.681,0.25
105.4,55,3.76,0.037
75.9,64,3.081,0.18
250.5,55,6.496,0.2
108.2,58,5.034,0.17
50.1,61,3.192,0.05
122.7,53,2.108,0.1
43.48,60,1.881,0.07
226.3,60,6.741,0.2
207.1,48,4.765,0.12
169.9,53,7.791,0.175
59.85,59,3.32,0.05
221.1,58,3.513,0.09
89.19,55,2.538,0.07
141.3,56,3.669,0.07
105.7,50,5.002,0.2
63.03,59,3.415,0.2
125,64,3.563,0.1
168.6,58,5.617,0.2
90.83,61,3.396,0.1
38.08,58,1.757,0.055
54.89,65,2.8,0.055
63.89,51,4.026,0.06
111.2,61,4.92,0.11
52.96,51,2.289,0.05
104.5,50,5.443,0.09
197.8,59,1.856,0.075
111.7,60,4.108,0.06
