cop,voxel,z,BSC
186.2,57,9.502,0.154
44.55,57,0.913,0.8
92.2,56,3.959,0.1
125.3,65,4.559,0.12
45.52,56,2.431,0.093
299.3,59,4.485,0.1
171.7,66,5.568,0.2
29.07,69,1.647,0.1
181.9,56,2.615,0.025
57.19,60,3.232,0.055
44.39,63,2.194,0.05
74.73,60,3.786,0.065
105.4,55,2.313,0.0375
74.5,67,3.691,0.09
112.8,59,6.936,0.11
97.25,63,3.029,0.08
78.65,57,3.065,0.1
122.7,60,2.108,0.045
6.849,50,0.1419,0.14
126.3,66,6.899,0.23
135.2,50,4.912,0.2
101.5,53,4.633,0.08
59.85,61,2.295,0.05
183,58,4.448,0.1
89.19,60,4.214,0.05
83.36,63,2.642,0.065
77.16,57,3.952,0.143
57.89,65,3.781,0.18
71.11,69,2.681,0.25
179.1,63,7.771,0.26
134,63,3.752,0.07
37.47,65,1.902,0.05
65.39,69,3.375,0.155
38.55,57,2.429,0.05
81.26,63,3.824,0.13
52.54,58,2.565,0.048
77.8,54,3.924,0.135
149.3,64,5.785,0.2
88.59,62,4.477,0.078
